tx_in_t,tx_in,rx_out_t,rx_out
"-119,0","3,48","-119,0","0,77"
"-118,0","3,52","-118,0","0,77"
"-117,0","3,52","-117,0","0,78"
"-116,0","3,52","-116,0","0,78"
"-115,0","3,56","-115,0","0,77"
"-114,0","3,52","-114,0","0,78"
"-113,0","3,52","-113,0","0,77"
"-112,0","3,52","-112,0","0,78"
"-111,0","3,52","-111,0","0,78"
"-110,0","3,52","-110,0","0,78"
"-109,0","3,52","-109,0","0,78"
"-108,0","3,52","-108,0","0,78"
"-107,0","3,52","-107,0","0,78"
"-106,0","3,52","-106,0","0,78"
"-105,0","3,56","-105,0","0,78"
"-104,0","3,52","-104,0","0,78"
"-103,0","3,52","-103,0","0,78"
"-102,0","3,52","-102,0","0,78"
"-101,0","3,52","-101,0","0,78"
"-100,0","1,90","-100,0","0,78"
"-99,0","0,13","-99,0","0,72"
"-98,0","0,13","-98,0","0,48"
"-97,0","0,13","-97,0","0,35"
"-96,0","0,13","-96,0","0,21"
"-95,0","0,13","-95,0","0,15"
"-94,0","0,13","-94,0","0,07"
"-93,0","0,13","-93,0","0,00"
"-92,0","0,13","-92,0","0,00"
"-91,0","0,13","-91,0","0,00"
"-90,0","0,13","-90,0","-0,06"
"-89,0","0,13","-89,0","-0,03"
"-88,0","0,13",-88,"-0,03"
"-87,0","0,13","-87,0","-0,03"
"-86,0","0,13","-86,0","-0,03"
"-85,0","0,13","-85,0","-0,03"
"-84,0","0,13",-84,"-0,03"
"-83,0","0,13","-83,0","-0,03"
"-82,0","0,13","-82,0","-0,03"
"-81,0","0,13","-81,0","-0,03"
"-80,0","0,13",-80,"-0,03"
"-79,0","0,13","-79,0","-0,03"
"-78,0","0,13","-78,0","-0,03"
"-77,0","0,13","-77,0","-0,03"
"-76,0","0,13",-76,"-0,03"
"-75,0","0,13","-75,0","-0,03"
"-74,0","0,13","-74,0","-0,03"
"-73,0","0,13","-73,0","-0,03"
"-72,0","0,13",-72,"-0,03"
"-71,0","0,13","-71,0","-0,03"
"-70,0","0,13","-70,0","-0,03"
"-69,0","0,13","-69,0","-0,03"
"-68,0","0,05",-68,"-0,03"
"-67,0","1,10","-67,0","-0,05"
"-66,0","2,31","-66,0","-0,05"
"-65,0","2,55","-65,0","-0,03"
"-64,0","3,44",-64,"-0,02"
"-63,0","3,44","-63,0","-0,02"
"-62,0","3,44","-62,0","-0,02"
"-61,0","3,44","-61,0","0,05"
"-60,0","3,39","-60,0","0,27"
"-59,0","3,44","-59,0","0,35"
"-58,0","3,44",-58,"0,70"
"-57,0","3,44","-57,0","0,82"
"-56,0","3,44","-56,0","0,84"
"-55,0","3,44","-55,0","0,76"
"-54,0","3,44","-54,0","0,76"
"-53,0","3,44","-53,0","0,78"
"-52,0","3,44","-52,0","0,76"
"-51,0","3,44","-51,0","0,74"
"-50,0","3,44","-50,0","0,76"
"-49,0","3,44","-49,0","0,76"
"-48,0","3,44","-48,0","0,76"
"-47,0","3,44","-47,0","0,76"
"-46,0","3,44","-46,0","0,75"
"-45,0","3,44","-45,0","0,75"
"-44,0","3,48","-44,0","0,76"
"-43,0","3,44","-43,0","0,76"
"-42,0","3,44","-42,0","0,76"
"-41,0","3,44","-41,0","0,76"
"-40,0","3,44","-40,0","0,76"
"-39,0","3,44","-39,0","0,76"
"-38,0","3,44","-38,0","0,76"
"-37,0","3,44","-37,0","0,76"
"-36,0","3,44","-36,0","0,76"
"-35,0","3,44","-35,0","0,76"
"-34,0","3,44","-34,0","0,76"
"-33,0","2,31","-33,0","0,76"
"-32,0","1,10","-32,0","0,69"
"-31,0","0,05","-31,0","0,43"
"-30,0","0,05","-30,0","0,37"
"-29,0","0,05","-29,0","0,31"
"-28,0","0,05","-28,0","0,17"
"-27,0","0,05","-27,0","-0,02"
"-26,0","0,05","-26,0","-0,02"
"-25,0","0,05","-25,0","-0,02"
"-24,0","0,05","-24,0","-0,02"
"-23,0","0,05","-23,0","-0,08"
"-22,0","0,05","-22,0","-0,03"
"-21,0","0,05","-21,0","-0,04"
"-20,0","0,05","-20,0","-0,05"
"-19,0","0,05",-19,"-0,05"
"-18,0","0,01","-18,0","-0,05"
"-17,0","0,05","-17,0","-0,05"
"-16,0","0,01","-16,0","-0,05"
"-15,0","-0,03",-15,"-0,05"
"-14,0","-0,03","-14,0","-0,07"
"-13,0","-0,03","-13,0","-0,07"
"-12,0","-0,03","-12,0","-0,07"
"-11,0","-0,03",-11,"-0,07"
"-10,0","-0,03","-10,0","-0,07"
"-9,0","-0,03","-9,0","-0,07"
"-8,0","-0,03","-8,0","-0,07"
"-7,0","-0,03",-7,"-0,07"
"-6,0","-0,03","-6,0","-0,07"
"-5,0","-0,03","-5,0","-0,07"
"-4,0","-0,03","-4,0","-0,07"
"-3,0","-0,03",-3,"-0,07"
"-2,0","-0,03","-2,0","-0,07"
"-1,0","-0,03","-1,0","-0,07"
"0,0","2,06","0,0","-0,08"
"1,0","2,87",1,"-0,06"
"2,0","3,31","2,0","-0,04"
"3,0","3,35","3,0","-0,04"
"4,0","3,35","4,0","-0,04"
"5,0","3,35",5,"-0,03"
"6,0","3,35","6,0","-0,03"
"7,0","3,35","7,0","0,21"
"8,0","3,35","8,0","0,35"
"9,0","3,35","9,0","0,34"
"10,0","3,35","10,0","0,56"
"11,0","3,39","11,0","0,76"
"12,0","3,35","12,0","0,82"
"13,0","3,35","13,0","0,78"
"14,0","3,35","14,0","0,76"
"15,0","3,35","15,0","0,74"
"16,0","3,35","16,0","0,72"
"17,0","3,35","17,0","0,74"
"18,0","3,35","18,0","0,74"
"19,0","3,35","19,0","0,73"
"20,0","3,35","20,0","0,74"
"21,0","3,31","21,0","0,73"
"22,0","3,35","22,0","0,74"
"23,0","3,35","23,0","0,74"
"24,0","3,35","24,0","0,74"
"25,0","3,35","25,0","0,74"
"26,0","3,35","26,0","0,74"
"27,0","3,35","27,0","0,74"
"28,0","3,35","28,0","0,74"
"29,0","3,35","29,0","0,74"
"30,0","3,35","30,0","0,74"
"31,0","3,35","31,0","0,74"
"32,0","3,35","32,0","0,74"
"33,0","3,35","33,0","0,74"
"34,0","2,23","34,0","0,76"
"35,0","1,01","35,0","0,69"
"36,0","-0,03","36,0","0,54"
"37,0","-0,03","37,0","0,37"
"38,0","-0,03","38,0","0,27"
